date,price
01/25/2021,52.67
01/22/2021,52.19
01/21/2021,53.05
01/20/2021,53.31
01/19/2021,52.98
01/18/2021,52.36
01/17/2021,52.20
01/15/2021,52.42
01/14/2021,53.62
01/13/2021,52.96
01/12/2021,53.24
01/11/2021,52.27
01/08/2021,52.26
01/07/2021,50.87
01/06/2021,50.69
01/05/2021,50.01
01/04/2021,47.76
12/31/2020,48.63
12/30/2020,48.50
12/29/2020,48.14
12/28/2020,47.77
12/24/2020,48.35
12/23/2020,48.24
12/22/2020,47.16
12/21/2020,47.97
12/18/2020,49.24
12/17/2020,48.54
12/16/2020,48.00
12/15/2020,47.78
12/14/2020,47.15
12/11/2020,46.75
12/10/2020,46.96
12/09/2020,45.72
12/08/2020,45.80
12/07/2020,45.95
12/04/2020,46.42
12/03/2020,45.79
12/02/2020,45.44
12/01/2020,44.73
11/30/2020,45.51
11/27/2020,45.74
11/26/2020,44.98
11/25/2020,45.91
11/24/2020,45.11
11/23/2020,43.28
11/20/2020,42.42
11/19/2020,41.90
11/18/2020,42.01
11/17/2020,41.65
11/16/2020,41.57
11/13/2020,40.40
11/12/2020,41.41
11/11/2020,41.74
11/10/2020,41.67
11/09/2020,40.62
11/06/2020,37.49
11/05/2020,39.11
11/04/2020,39.47
11/03/2020,37.99
11/02/2020,37.18
10/30/2020,36.15
10/29/2020,36.51
10/28/2020,37.72
10/27/2020,39.87
10/26/2020,38.89
10/23/2020,40.15
10/22/2020,40.94
10/21/2020,40.31
10/20/2020,41.70
10/19/2020,41.06
10/16/2020,41.12
10/15/2020,41.24
10/14/2020,41.34
10/13/2020,40.49
